Label (Required),Description (Optional),"Image URL (Optional, png/jpg/gif)"
Zach Leiberman/ OpenFrameworks/ p5js,,
Film/ Stranger Things/ 2001 a Space odyssey,,
John Muir/ Ansel Adams/ Photography/ Medium Format Photography,,
Dirt Biking,,
Puerto Rico Se levanta,,
Slot Canyons/red rock/ southern utah/ escalante/ seed pots/ Anasazi indians,,
The Dark Web/ How the FBI Fights CP,,
Computational Journalism/ Troll Farms/ fake news/ Cambrige Analytica/ Breaking News/ storytelling/ perception of truth,,
Gun Control/ NRA,,
Online Privacy Rights/ Center For Human Tech,,
SNL Creative Process,,
Mountain Biking/ Camping/ Hiking,,
Backpacking,,
Rich Hill,,
Enriques Journey,,
Falling Water,,
Funk/ Bowie/ Garfunkle/ Beatles,,
Architecture/ Scott Brown/ Ghery/ Le Corb,,
Lawrence of arabia,,
Iterative Design Vs Master Planing,,
Religion and Perspective,,
Bengali Child Prostitution Report/ IRA story/ Shit Town/,,
Space x,,
